id,question,reference,query_kind
precio-parapente-guatavita,¿Cuánto cuesta el parapente en Guatavita?,Vuelo Meditación (15 min) $250.000 COP; Vuelo Intermedio (20-25 min) $310.000 COP; Vuelo Adrenalina (25 min con maniobras intensas) $370.000 COP. Pagos con tarjeta BOLD tienen recargo del 6.5%. Se puede reservar con el 30%.,keyword
precio-paracaidismo-flandes,¿Cuál es el precio del paracaidismo en Flandes con Xielo?,Desde 800.000. Se reserva con el 30% del valor total. Pagos con tarjeta a través de BOLD tienen un recargo del 6.5%.,keyword
encuentro-parapente-guatavita,¿Cuál es el punto de encuentro del parapente en Guatavita?,Zona de vuelo Laguna de Guatavita.,keyword
encuentro-paracaidismo-flandes,¿Dónde es el punto de encuentro del paracaidismo en Flandes?,"Aeropuerto Santiago Vila en Flandes, Tolima, a 10 minutos de Girardot. El plan no incluye el transporte hasta el punto de encuentro.",keyword
peso-maximo-paracaidismo,¿Cuál es el peso máximo para el paracaidismo en Flandes?,El peso máximo permitido es de 100 kilos. Personas de más de 85 kilos deben consultar previamente.,keyword
edad-minima-paracaidismo,¿Cuál es la edad mínima para el paracaidismo en Flandes?,Mínimo 12 años. No hay límite máximo de edad.,keyword
altura-chingaza,¿A qué altura está el Parque Nacional Natural Chingaza?,"4000 MSNM, en La Calera, Cundinamarca.",keyword
dificultad-parapente-guatavita,¿Cuál es la dificultad del parapente en Guatavita?,1/5 Principiante. Es una actividad apta para principiantes.,keyword
recargo-bold,¿Cuánto es el recargo BOLD en los planes de Xperiencia?,Pagos con tarjeta mediante BOLD tienen un recargo del 6.5%.,keyword
altura-guatavita,¿A cuántos msnm está el parapente en Guatavita?,"2.700 MSNM, en Guatavita, Cundinamarca.",keyword
tobia-altura,¿A qué altura está Tobia?,"750 MSNM, en Tobia, Cundinamarca (Provincia de Gualivá).",keyword
suesca-roca-aves,¿Qué significa Suesca?,"Suesca significa ""Roca de las Aves"" en la tradición ancestral Muisca.",keyword
volar-cerca-bogota,¿Hay algún plan para volar al aire libre cerca de Bogotá?,"Parapente en Guatavita: vuelo biplaza sobre el Embalse de Tominé y la sabana de Bogotá, a aproximadamente una hora y media de Bogotá. Dificultad 1/5 principiante.",paraphrase
salto-tandem-girardot,"Quiero un salto tándem cerca de Girardot, ¿qué tienen?","Paracaidismo en Flandes con Xielo: salto tándem a más de 10.000 pies. Encuentro en el Aeropuerto Santiago Vila en Flandes, a 10 minutos de Girardot. El transporte no está incluido.",paraphrase
trekking-paramo-bogota,Busco un trekking de páramo cerca de Bogotá con lagunas.,"Parque Nacional Natural Chingaza: ecosistema de páramo, lagunas sagradas, oso de anteojos. La Calera a 1.5 horas de Bogotá, 4000 MSNM, dificultad 2/5.",paraphrase
rafting-cerca-bogota,¿Dónde puedo hacer rafting a pocas horas de Bogotá?,"Pasadía en Tobia: rafting en el río Negro, torrentismo en cascadas de 35 metros, canopy y puentes colgantes. Aproximadamente a dos horas de Bogotá.",paraphrase
escalada-cundinamarca,"Quiero escalar en roca en Cundinamarca, ¿qué plan hay?","Caminata y Escalada en Suesca: farallones de más de 4 km, epicentro de la escalada en Colombia. A 1 hora y 30 minutos de Bogotá, 2.584 MSNM, dificultad 2/5. Encuentro a las 9:00 am en la entrada de las Rocas de Suesca.",paraphrase
navidad-boyaca,¿Tienen algún plan familiar de luces de Navidad en Boyacá?,"Noche Iluminada en Boyacá: recorrido de alumbrados navideños por Paipa (Laguna de Sochagota), Pantano de Vargas, Corrales, Nobsa, Tibasosa y el Puente de Boyacá. Dificultad 1/5, 2.351 MSNM.",paraphrase
senderismo-cascadas,Busco senderismo con cascadas y vistas de los Andes cerca de Bogotá.,"Trekking por Supatá: senderos, cascadas cristalinas y vistas panorámicas de la cordillera. Aproximadamente 2 horas de Bogotá, 1.798 MSNM, dificultad 3/5 intermedio. También hay canyoning y torrentismo.",paraphrase
vuelo-biplaza-embalse,¿Hay un vuelo biplaza sobre un embalse cerca de la sabana?,"Parapente en Guatavita: experiencia de vuelo en parapente biplaza sobre el Embalse de Tominé y la sabana de Bogotá, con piloto certificado.",paraphrase
clima-calido-aventura,Quiero un día de aventura con clima cálido cerca de Bogotá.,"Pasadía en Tobia (clima cálido, ~2 h de Bogotá): rafting en el río Negro, torrentismo, canopy. También paracaidismo en Flandes, Tolima, 285 MSNM, con clima apto todo el año.",paraphrase
oso-anteojos-plan,¿Hay un plan de naturaleza donde se pueda ver oso de anteojos?,"Parque Nacional Natural Chingaza: más de 76.000 hectáreas, hogar del oso de anteojos y el venado de páramo. Territorio sagrado muisca por sus lagunas.",paraphrase
cuanto-sale-parapente-guatavita,¿Cuánto sale el vuelo de parapente en Guatavita y cuánto dura cada uno?,Meditación 15 min $250.000; Intermedio 20-25 min $310.000; Adrenalina 25 min con maniobras intensas $370.000. Reserva del 30%. BOLD +6.5%.,mixed
incluye-paracaidismo-flandes,¿Qué incluye el paracaidismo en Flandes y qué no incluye?,"Incluye salto tándem, instructor certificado, inducción, seguro de asistencia médica, equipos certificados e instalaciones. No incluye traslados desde/hacia Ricaurte o Flandes, gastos personales, fotos, videos, hidratación ni snacks.",mixed
parapente-incluye-traslados,¿El parapente en Guatavita incluye traslados al voladero?,"No incluye traslados desde y hacia el voladero, ni gastos personales, fotos y videos, hidratación y snacks. Sí incluye seguro de asistencia médica, vuelo con piloto certificado, derecho de despegue y equipo básico.",mixed
dificultad-chingaza,¿Qué tan difícil es el trekking en Chingaza y a qué hora es el encuentro?,Dificultad 2/5 principiante. Itinerario: 06:00 am punto de encuentro (se acuerda con el grupo).,mixed
actividades-tobia,"¿Qué actividades hay en la pasadía de Tobia, la capital de aventura de Cundinamarca?","Rafting en el río Negro, torrentismo en cascadas de 35 metros, canopy, puentes colgantes, senderismo por antiguas carrileras de tren y pozos naturales. Dificultad 2/5, ~2 horas de Bogotá.",mixed
reserva-30-flandes,¿Cómo se reserva el paracaidismo en Flandes y cuánto hay que dejar?,Precio desde 800.000. Se reserva con el 30% del valor total. Fechas abiertas sujeto a disponibilidad con un asesor.,mixed
chingaza-tiempo-bogota,¿A cuánto tiempo de Bogotá queda Chingaza y dónde se ubica?,"La Calera, Cundinamarca, a 1.5 horas de Bogotá. 4000 MSNM.",mixed
gopro-parapente,¿Cuánto cuestan las fotos GoPro del parapente en Guatavita?,Fotos/Video GoPro $45.000 y Video 360 $100.000. No vienen incluidas en el vuelo.,mixed
tobia-capital-aventura,¿Por qué dicen que Tobia es la capital del turismo de aventura en Cundinamarca?,"Tobia es conocido como la capital del turismo de aventura en Cundinamarca: rafting en el río Negro, torrentismo, canopy, puentes colgantes y senderismo, a unas dos horas de Bogotá con clima cálido.",mixed
suesca-encuentro-hora,¿A qué hora y dónde nos encontramos para la caminata y escalada en Suesca?,9:00 am en la entrada de las Rocas de Suesca. A las 9:30 am recorrido sobre la vía férrea hacia la zona de escalada.,mixed
planes-pa-tierra-caliente,planes pa tierra caliente,"Pasadía en Tobia (clima cálido, ~2 h de Bogotá): rafting en el río Negro, torrentismo, canopy. También paracaidismo en Flandes, Tolima, 285 MSNM, con clima apto todo el año.",paraphrase
nombre-exacto-paracaidismo-flandes,Paracaidismo en Flandes,"Paracaidismo en Flandes con Xielo: salto tándem a más de 10.000 pies. Encuentro en el Aeropuerto Santiago Vila en Flandes, a 10 minutos de Girardot. Precio desde 800.000. Reserva del 30%.",keyword
